2010,,10-14-0078,,,22.6774998,-103.9049988,,Jalisco,Huejuquilla El Alto,,Actividades Agropecuarias,,2010-05-25,25,2010-05-25,25,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,1.0,1.0,0.0,2.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0011,,,20.7444,-103.5889969,,Jalisco,El Arenal,,Limpia de derechos de v�a,,2010-05-10,10,2010-05-10,10,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,0.0,26.0,0.0,26.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0012,,,20.6828003,-103.6070023,,Jalisco,El Arenal,,Fogatas De Paseantes,,2010-05-30,30,2010-05-31,31,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,5.0,0.0,0.0,55.0,0.0,60.0,,Si,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2016,832,16-14-0832,,,22.5438004,-104.3450012,61,Jalisco,Mezquitic,Cerro del Tenquique,Actividades Agropecuarias,Quema para preparación de siembra,2016-04-29,29,2016-04-29,29,1,,,,,Superficial,Bosque de Pino Encino,,,Impacto Mínimo,0.0,0.0,0.0,6.48,7.0,13.0,11 a 20 Hectáreas,0,0.0,,,205.4620056,482.3670044,7352.2299805,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Norte
2010,,10-14-0014,,,20.7241993,-103.612999,,Jalisco,El Arenal,,Fumadores,,2010-12-14,14,2010-12-14,14,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,0.0,10.0,0.0,10.0,,Si,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0015,,,20.4192009,-104.4779968,,Jalisco,Atenguillo,,Cultivos Il�citos,,2010-04-06,6,2010-04-06,6,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.0,5.0,0.0,0.0,5.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0016,,,19.8519001,-104.4589996,,Jalisco,Autlan de Navarro,,Fogatas De Paseantes,,2010-03-29,29,2010-03-29,29,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,1.0,7.0,3.0,0.0,11.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2019,157,19-14-0157,,,22.4633007,-103.6780014,61,Jalisco,Mezquitic,Minillas,Actividades Pecuarias,Quema para pastoreo,2019-04-06,6,2019-04-07,7,1,,00:00:00,00:00:00,00:00:00,Superficial,Pastizal Natural,,,Impacto Mínimo,0.0,0.0,19.34,10.0,0.0,29.0,21 a 50 Hectáreas,0,0.0,,,447.2000122,364.4060059,5554.2700195,8,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,29.0,9483.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0018,,,19.6208,-104.2590027,,Jalisco,Autlan de Navarro,,Cultivos Il�citos,,2010-06-03,3,2010-06-06,6,3,,00:00:00,00:00:00,1900-01-03 00:00:00,Superficial,Bosque Templado Fr�o,,,,30.0,0.0,0.0,0.0,0.0,30.0,,Si,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2016,687,16-14-0687,,,22.4057007,-103.1839981,42,Jalisco,Huejuquilla el Alto,Los Arrepentidos,Actividades Agropecuarias,Quema para preparación de siembra,2016-06-03,3,2016-06-04,4,1,,,,,Superficial,Pastizal Inducido,,,Impacto Mínimo,0.0,0.0,0.0,4.2,0.0,4.0,0 a 5,0,0.0,,,64.0164032,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2017,449,17-14-0449,,,22.3988991,-104.0100021,42,Jalisco,Huejuquilla el Alto,Los Amoles,Actividades Agropecuarias,Quema para preparación de siembra,2017-05-17,17,2017-05-19,19,2,,20:30:00,05:00:00,18:30:00,Superficial,Bosque de Pino Encino,,,Impacto Mínimo,0.0,0.0,9.78,45.0,35.0,90.0,51 a 100 Hectáreas,0,0.0,,,1368.4300537,3212.6799316,48967.6015625,18,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,5944.0,0,0,0,0,0,0,0,0,0,Occidente
2018,409,18-14-0409,,,22.3724003,-104.0049973,42,Jalisco,Huejuquilla el Alto,Las Vigas,Actividades Agropecuarias,Quema para preparación de siembra,2018-05-21,21,2018-05-24,24,3,,00:00:00,00:00:00,1900-01-03 00:00:00,Superficial,Bosque de Pino Encino,,,Impacto Mínimo,0.0,20.0,0.0,150.67,150.0,321.0,Mayor a 100,Cuenca Alimentadora del Distrito Nacional de Rieg*,200.2899933,,,4887.6499023,11474.7998047,174899.0,16,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,136.0,35672.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0022,,,19.6151009,-104.2460022,,Jalisco,Autlan de Navarro,,Cazadores,,2010-10-21,21,2010-10-23,23,2,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,0.0,0.0,0.0,0.0,1.0,,Si,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2018,125,18-14-0125,,,22.3670006,-104.2300034,61,Jalisco,Mezquitic,San Jose,Actividades Agropecuarias,Quema para desmontar,2018-03-24,24,2018-03-27,27,3,,00:00:00,1900-01-01 00:00:00,1900-01-02 00:00:00,Superficial,Bosque de Pino Encino,,,Impacto Mínimo,0.0,0.0,16.85,90.0,90.0,197.0,Mayor a 100,Cuenca Alimentadora del Distrito Nacional de Rieg*,196.8500061,,,3000.3898926,7044.0498047,107365.0,24,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,32.0,16664.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0024,,,22.1707993,-103.9059982,,Jalisco,Bola�os,,Desconocidos,,2010-05-30,30,2010-05-30,30,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,0.5,0.0,0.5,0.0,1.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0025,,,21.6814003,-103.7610016,,Jalisco,Bola�os,,Desconocidos,,2010-05-28,28,2010-05-28,28,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,2.0,15.0,20.0,0.0,37.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2017,5,17-14-0005,,,22.3528996,-103.1750031,41,Jalisco,Huejucar,Potrero Mesa de la Virgen,Actividades Agropecuarias,Quema para desmontar,2017-01-12,12,2017-01-12,12,1,,00:45:00,00:45:00,07:30:00,Superficial,Selva Baja Caducifolia,,,Impacto Mínimo,0.0,0.0,7.01,25.0,0.0,32.0,21 a 50 Hectáreas,0,0.0,,,487.8999939,2266.4399414,34545.1015625,5,0,0,0,,0,0,0.0,0,0,0,0,0,5,0,4,0,10,0,0,0,0,0,24.0,8153.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0027,,,21.7542,-103.8059998,,Jalisco,Bola�os,,Desconocidos,,2010-05-21,21,2010-05-22,22,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,4.0,50.0,100.0,0.0,154.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0028,,,21.7556,-103.8059998,,Jalisco,Bola�os,,Desconocidos,,2010-05-22,22,2010-05-23,23,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,0.0,5.0,20.0,70.0,0.0,95.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2017,139,17-14-0139,,,22.3528004,-103.9219971,42,Jalisco,Huejuquilla el Alto,Cascomate,Actividades Agropecuarias,Quema para preparación de siembra,2017-03-30,30,2017-03-30,30,1,,00:30:00,01:30:00,08:30:00,Superficial,Bosque De Encino,,,Impacto Mínimo,0.0,0.0,5.08,15.0,10.0,30.0,21 a 50 Hectáreas,0,0.0,,,458.480011,946.2890015,14423.2998047,5,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13.0,3906.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0030,,,22.2000008,-103.9039993,,Jalisco,Bola�os,,Fumadores,,2010-04-12,12,2010-04-12,12,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,1.0,5.0,10.0,0.0,17.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2018,200,18-14-0200,,,22.3188992,-103.9229965,61,Jalisco,Mezquitic,Las Cuevas,Actividades Agropecuarias,Quema para preparación de siembra,2018-04-07,7,2018-04-08,8,1,,00:00:00,00:00:00,1900-01-01 00:00:00,Superficial,Bosque De Encino,,,Impacto Mínimo,0.0,0.0,0.0,23.29,23.0,46.0,21 a 50 Hectáreas,0,0.0,,,705.552002,1456.2399902,22196.0,8,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10.0,3850.8999023,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0032,,,22.1732998,-103.8399963,,Jalisco,Bola�os,,Fumadores,,2010-05-21,21,2010-05-22,22,1,,00:00:00,00:00:00,1900-01-02 00:00:00,Superficial,Bosque Templado Fr�o,,,,5.0,5.0,20.0,40.0,0.0,70.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2011,,11-14-0525,,,22.3178005,-104.0169983,,Jalisco,Mezquitic,,Actividades Agropecuarias,,2011-06-08,8,2011-06-10,10,2,,00:00:00,00:00:00,1900-01-02 00:00:00,Superficial,Bosque de Encino,,,,0.0,0.0,10.0,23.0,0.0,33.0,,,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0034,,,22.1889,-103.8359985,,Jalisco,Bola�os,,Desconocidos,,2010-05-25,25,2010-05-25,25,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,1.0,5.0,5.0,0.0,12.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0035,,,22.2110996,-103.9059982,,Jalisco,Bola�os,,Desconocidos,,2010-05-18,18,2010-05-19,19,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,1.0,5.0,10.0,0.0,17.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0036,,,22.2082996,-103.9049988,,Jalisco,Bola�os,,Desconocidos,,2010-06-04,4,2010-06-05,5,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,1.0,8.0,200.0,150.0,0.0,359.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
2010,,10-14-0037,,,22.1706009,-103.9059982,,Jalisco,Bola�os,,Fumadores,,2010-06-08,8,2010-06-09,9,1,,00:00:00,00:00:00,00:00:00,Superficial,Bosque Templado Fr�o,,,,5.0,10.0,10.0,10.0,0.0,35.0,,No,0.0,,,0.0,0.0,0.0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,Occidente
